TrialNumber,Metric,K,N,Mean,StandardDeviation
int,str,int,int,float,float
0,2,5000,1,0.00013784477754,0.0001381089817384673
1,2,5000,1,0.000139437169558,0.0001434935163622073
2,2,5000,1,0.000139122794703,0.00014315830009557727
3,2,5000,1,0.000138393922329,0.00014345042332126727
4,2,5000,1,0.000141044163339,0.00014557595169701495
5,2,5000,1,0.00013808100993,0.00014179918536976578
6,2,5000,1,0.000138661689655,0.0001435155665795667
7,2,5000,1,0.000135823229782,0.00014237856463297115
8,2,5000,1,0.000137916889893,0.00014815434072883632
9,2,5000,1,0.00013823120782,0.00014387407265760319
10,2,5000,1,0.000139592169526,0.00014422616767890555
11,2,5000,1,0.000140023916728,0.00014449806199078196
12,2,5000,1,0.000140695792553,0.00014263263586797038
13,2,5000,1,0.000137555281047,0.00014347573315064073
14,2,5000,1,0.000139684805758,0.00014450647855041807
15,2,5000,1,0.000140982213668,0.00014698574776421454
16,2,5000,1,0.000140774142298,0.00015146319714616223
17,2,5000,1,0.000137605754214,0.00014598873884681942
18,2,5000,1,0.000140450416946,0.00014467067716858795
19,2,5000,1,0.000140220567999,0.0001438528718418649
20,2,5000,1,0.00014120969832,0.0001425475076135203
21,2,5000,1,0.000136959809646,0.0001396610877224107
22,2,5000,1,0.000140228962994,0.00014508755187928317
23,2,5000,1,0.000137206261751,0.00014168400291357646
24,2,5000,1,0.000138845511519,0.00014458626725942066
0,2,5000,2,0.00690997452078,0.0037859807874754603
1,2,5000,2,0.00683422342466,0.003790058111708103
2,2,5000,2,0.00689105688832,0.00374483074683277
3,2,5000,2,0.00681283857914,0.0036831707621377686
4,2,5000,2,0.00685874010119,0.00378648375923219
5,2,5000,2,0.0069504110902,0.0037546078170466028
6,2,5000,2,0.0068365186465,0.003719512885427682
7,2,5000,2,0.00680725242642,0.003783774434456847
8,2,5000,2,0.00681575524343,0.003735040901735762
9,2,5000,2,0.00683059274351,0.0038066917009837936
10,2,5000,2,0.00684576158486,0.0037224536087628692
11,2,5000,2,0.00684539264727,0.003708456194668931
12,2,5000,2,0.00682257430056,0.003726833975900161
13,2,5000,2,0.00680821580431,0.0038051275099869044
14,2,5000,2,0.00685526086137,0.003764398177947802
15,2,5000,2,0.00677582122053,0.003738029440387627
16,2,5000,2,0.00677930416161,0.003751361359391244
17,2,5000,2,0.00688539074148,0.0036983965968453705
18,2,5000,2,0.00684548684981,0.003740899579123262
19,2,5000,2,0.0068191759874,0.0036777045022400117
20,2,5000,2,0.0068707848695,0.0037859615294170016
21,2,5000,2,0.00684757999652,0.0037218768545168954
22,2,5000,2,0.00691305700168,0.0036897925082317153
23,2,5000,2,0.00684054901192,0.0038181620703670164
24,2,5000,2,0.00678337708119,0.0037849084757430223
0,2,5000,3,0.0263245653123,0.01009832591053957
1,2,5000,3,0.0262936391888,0.010227126656743066
2,2,5000,3,0.0267414336534,0.01023226835752877
3,2,5000,3,0.0263418766688,0.010109629010339686
4,2,5000,3,0.026337159481,0.010225921361371857
5,2,5000,3,0.0266742274319,0.010498105988180687
6,2,5000,3,0.0265305852396,0.009988284966281489
7,2,5000,3,0.0267777184575,0.010273062305093407
8,2,5000,3,0.026510674484,0.010228140502090683
9,2,5000,3,0.0267712114719,0.009934281550723153
10,2,5000,3,0.0268381445781,0.010163704639035029
11,2,5000,3,0.0261156977078,0.010420852926037177
12,2,5000,3,0.0263235346656,0.0101630318229171
13,2,5000,3,0.0264990553482,0.01015453595893571
14,2,5000,3,0.0259805381355,0.010115619391165136
15,2,5000,3,0.0257521098367,0.010129532019020396
16,2,5000,3,0.0265030291001,0.010325731402247207
17,2,5000,3,0.0266848186776,0.010280173418682525
18,2,5000,3,0.0265410129737,0.010347623477377275
19,2,5000,3,0.0265369809039,0.010313248020573502
20,2,5000,3,0.0266264559296,0.010225156614375851
21,2,5000,3,0.0264130223299,0.010272526282071254
22,2,5000,3,0.0263239691003,0.010273761292328498
23,2,5000,3,0.0261663947618,0.010235368195101648
24,2,5000,3,0.0266389286189,0.0102519994966948
0,2,5000,4,0.0543265845485,0.016305394356492562
1,2,5000,4,0.053710230982,0.016304780908010515
2,2,5000,4,0.053899064506,0.015812359638601357
3,2,5000,4,0.0533704753691,0.015962760551505105
4,2,5000,4,0.0531343833513,0.01625339132141613
5,2,5000,4,0.0531170209423,0.0162395143031761
6,2,5000,4,0.0526382387254,0.01599104589281311
7,2,5000,4,0.0534013543765,0.01627498861864659
8,2,5000,4,0.0532939714662,0.016023640733566824
9,2,5000,4,0.0538035437247,0.01627586218645345
